title,year,journal,doi,volume,authors,url,language,abstract,category,type,focus,Cfoc_1,Cfoc_2,Cfoc_3,Cmult_foc,Ofoc_1,Ofoc_2,Ofoc_3,Omult_foc,location,sub_location,mult_location,international,life_history_stage,study_duration,experiment_type,nat_product_benefit,keywords,recommendation
The physiological response of the reef coral Pocillopora damicornis to elevated temperature: Results from coral reef mesocosm experiments in Southern Taiwan,2013,Marine Environmental Research,10.1016/j.marenvres.2013.01.004,86,"Mayfield, Anderson B. and Chen, Meng-Ni and Meng, Pei-Jie and Lin, Hsing-Juh and Chen, Chii-Shiarng and Liu, Pi-Jen",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876144877&doi=10.1016%2fj.marenvres.2013.01.004&partnerID=40&md5=3a1585712011b0fff85c688b45eeac0a,english,"Given the threat of climate change towards scleractinian corals, there is an urgent need to understand their physiological mechanisms of acclimation to increasing temperatures. To gain insight into this process, two mesocosm-based experiments were conducted in Southern Taiwan with the model reef-building coral Pocillopora damicornis. In the first study, temperature was gradually elevated to 32 ¬?C, though reduced to ambient levels at night, in order to simulate a temperature profile that can characterize intertidal reefs of Southern Taiwan. All corals acclimated to such conditions over the course of the month-long experiment, as evidenced by a variety of physiological and sub-cellular responses. In the second experiment, corals were exposed continually to 31.5 ¬?C for two weeks, and, in contrast to results from the first study, the majority of the corals died, revealing that prolonged exposure to this temperature is lethal for this dominant reef builder of many regions of the Pacific Ocean. ¬© 2013 Elsevier Ltd.",climate_change,scleractinian,single,pocillopora_damicornis,NA,NA,NA,NA,NA,NA,NA,multiple,NA,NMMBA; houwan,N,adult,mid,laboratory,NA,"Acclimation, Coral reefs, Endosymbiosis, Global change, Invertebrate physiology, Mesocosm, Molecular biology, mRNA, Symbiodinium, Temperature",NA
Physiological acclimation to elevated temperature in a reef-building coral from an upwelling environment,2013,Coral Reefs,10.1007/s00338-013-1067-4,32,"Mayfield, A.B. and Fan, T.-Y. and Chen, C.-S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888065668&doi=10.1007%2fs00338-013-1067-4&partnerID=40&md5=3c7a8148e75ac3495ce7f46f96f05f50,english,"Recent work has found that pocilloporid corals from regions characterized by unstable temperatures, such as those exposed to periodic upwelling, display a remarkable degree of phenotypic plasticity. In order to understand whether important reef builders from these upwelling reefs remain physiologically uncompromised at temperatures they will experience in the coming decades as a result of global climate change, a long-term elevated temperature experiment was conducted with Pocillopora damicornis specimens collected from Houbihu, a small embayment within Nanwan Bay, southern Taiwan that is characterized by 8-9 ¬?C temperature changes during upwelling events. Upon nine months of exposure to nearly 30 ¬?C, all colony (mortality and surface area), polyp (Symbiodinium density and chlorophyll a content), tissue (total thickness), and molecular (gene expression and molecular composition)-level parameters were documented at similar levels between experimental corals and controls incubated at 26.5 ¬?C, suggesting that this species can readily acclimate to elevated temperatures that cause significant degrees of stress, or even bleaching and mortality, in conspecifics of other regions of the Indo-Pacific. However, the gastrodermal tissue layer was relatively thicker in corals of the high temperature treatment sampled after nine months, possibly as an adaptive response to shade Symbiodinium from the higher photosynthetically active radiation levels that they were experiencing at that sampling time. Such shading may have prevented high light and high temperature-induced photoinhibition, and consequent bleaching, in these samples. ¬© 2013 Springer-Verlag Berlin Heidelberg.",climate_change,scleractinian,single,pocillopora_damicornis,NA,NA,NA,NA,NA,NA,NA,multiple,NA,NMMBA; houbihu,N,adult,long,laboratory,NA,"Acclimation, Coral reefs, Endosymbiosis, Gene expression, Thermal stress, Upwelling",further_research
The physiological and molecular responses of larvae from the reef-building coral Pocillopora damicornis exposed to near-future increases in temperature and pCO2,2013,Marine Biology,10.1007/s00227-012-2129-9,160,"Putnam, H.M. and Mayfield, A.B. and Fan, T.Y. and Chen, C.S. and Gates, R.D.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881249759&doi=10.1007%2fs00227-012-2129-9&partnerID=40&md5=145f9561c9e58e842aadd90712b32662,english,"Given the threats of greenhouse gas emissions and a changing climate to marine ecosystems, there is an urgent need to better understand the response of not only adult corals, which are particularly sensitive to environmental changes, but also their larvae, whose mechanisms of acclimation to both temperature increases and ocean acidification are not well understood. Brooded larvae from the reef coral Pocillopora damicornis collected from Nanwan Bay, Southern Taiwan, were exposed to ambient or elevated temperature (25 or 29 ¬?C) and pCO2 (415 or 635 Œºatm) in a factorial experiment for 9 days, and a variety of physiological and molecular parameters were measured. Respiration and rubisco protein expression decreased in larvae exposed to elevated temperature, while those incubated at high pCO2 were larger in size. Collectively, these findings highlight the complex metabolic and molecular responses of this life history stage and the need to integrate our understanding across multiple levels of biological organization. Our results also suggest that for this pocilloporid larval life stage, the impacts of elevated temperature are likely a greater threat under near-future predictions for climate change than ocean acidification. ¬© 2012 Springer-Verlag Berlin Heidelberg.",climate_change,scleractinian,single,pocillopora_damicornis,NA,NA,NA,NA,NA,NA,NA,multiple,NA,NMMBA; nanwan_bay,N,planktonic,mid,laboratory,NA,"Ocean Acidification, High pCO2, rbcL Gene, Coral Reef Ecosystem, Larval Size",climate_change
Effects of exposure duration on the response of <i>Pocillopora damicornis</i> larvae to elevated temperature and high pCO<sub>2</sub>,2013,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,10.1016/j.jembe.2012.10.019,439,"Cumbo, V. R. and Fan, T. Y. and Edmunds, P. J.",NA,english,"Efforts to evaluate the response of coral larvae to global climate change (GCC) and ocean acidification (OA) typically employ short experiments of fixed length, yet it is unknown how the response is affected by exposure duration. In this study, we exposed larvae from the brooding coral Pocillopora damicornis to contrasts of temperature (24.00 degrees C {[}ambient] versus 30.49 degrees C) and pCO(2) (49.4 Pa versus 862 Pa) for varying periods (1-5 days) to test the hypothesis that exposure duration had no effect on larval response as assessed by protein content, respiration, Symbiodinium density, and survivorship; exposure times were ecologically relevant compared to representative pelagic larval durations (PLO) for corals. Larvae differed among days for all response variables, and the effects of the treatment were relatively consistent regardless of exposure duration for three of the four response variables. Protein content and Symbiodinium density were unaffected by temperature and pCO(2), but respiration increased with temperature (but not pCO(2)) with the effect intensifying as incubations lengthened. Survival, however, differed significantly among treatments at the end of the study, and by the 5th day, 78\% of the larvae were alive and swimming under ambient temperature and ambient pCO(2), but only 55-59\% were alive in the other treatments. These results demonstrate that the physiological effects of temperature and pCO(2) on coral larvae can reliably be detected within days, but effects on survival require days to detect. The detection of time-dependent effects on larval survivorship suggests that the influence of GCC and OA will be stronger for corals having long PLDs. (C) 2012 Elsevier B.V. All rights reserved.",climate_change,scleractinian,single,pocillopora_damicornis,NA,NA,NA,NA,NA,NA,NA,multiple,NA,houbihu; NMMBA,N,planktonic,short,laboratory,NA,Larvae; pCO(2); Respiration; Scleractinia; Survival; Temperature,further_research
Metabolic costs of larval settlement and metamorphosis in the coral <i>Seriatopora caliendrum</i> under ambient and elevated pCO<sub>2</sub>,2013,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,10.1016/j.jembe.2013.02.032,443,"Edmunds, Peter J. and Cumbo, Vivian R. and Fan, Tung-Yung",NA,english,"We tested the effects of pCO(2) on Seriatopora caliendrum recruits over the first 5.3 d of post-settlement existence. In March 2011, 11-20 larvae were settled in glass vials (3.2 mL) and incubated at 24.0 degrees C and similar to 250 mu mol quanta m(-2) s(-1) while supplied with seawater (at 1.4 mL s(-1)) equilibrated with 51.6 Pa pCO(22) (ambient) or 86.4 Pa pCO(2). At 51.6 Pa pCO(2), mean respiration 7 h post-settlement was 0.056 +/- 0.007 nmol O-2 recruit(-1) min(-1), but rose quickly to 0.095 +/- 0.007 nmol O-2 recruit(-1) min(-1) at 3.3 d post-settlement, and thereafter declined to 0.075 +/- 0.002 nmol O-2 recruit(-1) min(-1) at 5.3 d post-settlement (all +/- SE). Elevated pCO(2) depressed respiration of recruits by 19\% after 3.3 d and 12\% overall (i.e., integrated over 5.3 d), and while it had no effect on corallite area, elevated pCO(2) was associated with weaker adhesion to the glass settlement surface and lower protein biomass. The unique costs of settlement and metamorphosis for S. caliendrum over 5.3 d are estimated to be 257 mJ recruit(-1) at 51.6 Pa pCO(2), which is less than the energy content of the larvae and recruits. (C) 2013 Elsevier B.V. All rights reserved.",climate_change,scleractinian,single,seriatopora_caliendrum,NA,NA,NA,NA,NA,NA,N,multiple,NA,houwan; houbihu; NMMBA,N,planktonic,short,laboratory,NA,Metabolic cost; Metamorphosis; Recruits; Respiration; Scleractinia,further_research
"Rumphellclovanes C-E, new clovane-type sesquiterpenoids from the gorgonian coral <i>Rumphella antipathies</i>",2013,TETRAHEDRON,10.1016/j.tet.2013.01.087,69,"Chung, Hsu-Ming and Su, Jui-Hsin and Hwang, Tsong-Long and Li, Jan-Jung and Chen, Jih-Jung and Chen, Yung-Husan and Chang, Yu-Chia and Su, Yin-Di and Chen, Yu-Hsin and Fang, Lee-Shing and Sheu, Jyh-Horng and Wang, Wei-Hsien and Sung, Ping-Jyun",https://www.sciencedirect.com/science/article/pii/S0040402013001701?casa_token=q-eLO0Z-LQQAAAAA:p9fArh5H6zqxcM9sF0BjjzQ7Ayp7CqVcnt_Xv2qo2IfR4zp7FVZ4eXTNuUOjRnNjb2W8gzPW,english,"Three new clovane-related sesquiterpenoids, rumphellclovanes C-E (1-3), and a new natural clovane, clovan-2,9-dione (4), were isolated from a gorgonian coral Rumphella antipathies. The structures of clovanes 1-4 were elucidated by spectroscopic methods and by comparison of the spectral data with those of related analogues. Rumphelldovane C (1) was proven to be the first clovane-type sesquiterpenoid containing an epsilon-lactone moiety. A plausible biosynthetic pathway between clovanes 1 and 2 was proposed. Clovane 4 displayed significant inhibitory effects on the generation of superoxide anion and the release of elastase by human neutrophils. (C) 2013 Elsevier Ltd. All rights reserved.",natural_products,octocoral,single,rumphella_antipathies,NA,NA,NA,NA,NA,NA,NA,south,NA,NA,N,adult,undefined,laboratory,immune_response; anti_inflammatory,Clovane; Rumphellclovane; Rumphella; Superoxide anion; Elastase,NA
"Flexibilins A-C, New Cembrane-Type Diterpenoids from the Formosan Soft Coral, Sinularia flexibilis",2013,MARINE DRUGS,10.3390/md11061999,11,"Hu, Li-Chung and Su, Jui-Hsin and Chiang, Michael Yen-Nan and Lu, Mei-Chin and Hwang, Tsong-Long and Chen, Yung-Husan and Hu, Wan-Ping and Lin, Nai-Cheng and Wang, Wei-Hsien and Fang, Lee-Shing and Kuo, Yueh-Hsiung and Sung, Ping-Jyun",https://www.mdpi.com/1660-3397/11/6/1999,english,"Three new cembrane-type diterpenoids, flexibilins A-C (1-3), along with a known cembrane, (-)-sandensolide (4), were isolated from the soft coral, Sinularia flexibilis. The structures of cembranes 1-4 were elucidated by spectroscopic methods. The structure of 4, including its absolute stereochemistry, was further confirmed by single-crystal X-ray diffraction analysis. Cembrane 2 displayed a moderate inhibitory effect on the release of elastase by human neutrophils.",natural_products,octocoral,single,sinularia_flexibilis,NA,NA,NA,NA,NA,NA,NA,south,NA,NA,N,adult,undefined,laboratory,immune_response; anti_inflammatory,cembrane; diterpenoid; Sinularia flexibilis; elastase,NA
Natural Clovanes from the Gorgonian Coral Rumphella antipathies,2013,NATURAL PRODUCT COMMUNICATIONS,10.1177/1934578X1300800801,8,"Chung, Hsu-Ming and Wang, Wei-Hsien and Hwang, Tsong-Long and Wu, Yang-Chang and Sung, Ping-Jyun",https://www.mdpi.com/1660-3397/11/7/2625,english,"Three natural clovane-related sesquiterpenoids, 2 beta-acetoxyclovan-9 alpha-ol (1), 9 alpha-acetoxyclovan-2 beta-ol (2) and clovan-2 beta,9 beta-diol (3), were isolated from the gorgonian coral Rumphella antipathies. The structures of clovanes 1-3 were elucidated by spectroscopic methods and by comparison of the spectral data with those of known clovane analogues. This is the first time that clovanes 1-3 have been isolated from a natural source. Clovanes 1 and 2 displayed inhibitory effects on the generation of superoxide anions and the release of elastase by human neutrophils.",natural_products,octocoral,single,rumphella_antipathies,NA,NA,NA,NA,NA,NA,NA,south,NA,NA,N,adult,undefined,laboratory,immune_response; anti_inflammatory,Clovane; Rumphella antipathies; Anti-inflammatory; Superoxide anion; Elastase,NA
Secondary Metabolites from the Soft Coral Sinularia arborea,2013,MARINE DRUGS,10.3390/md11093372,11,"Chen, Kuan-Hua and Dai, Chang-Feng and Lu, Mei-Chin and Li, Jan-Jung and Chen, Jih-Jung and Chang, Yu-Chia and Su, Yin-Di and Wang, Wei-Hsien and Sung, Ping-Jyun",https://www.mdpi.com/1660-3397/11/9/3372s5,english,"Two new 13-hydroxycembrane diterpenoids, arbolides A (1) and B (2), along with a known trihydroxysteroid, crassarosterol A (3), were isolated from the soft coral Sinularia arborea. The structures of new cembranes 1 and 2 were elucidated by spectroscopic methods. Steroid 3 was found to exhibit cytotoxicity toward K562 and MOLT-4 leukemia.",natural_products,octocoral,single,sinularia_arborea,NA,NA,NA,NA,NA,NA,NA,south,NA,NA,N,adult,undefined,laboratory,cytotoxicity; cancer,cembrane; Sinularia arborea; arbolide; crassarosterol; cytotoxicity,NA
Secondary Metabolites from the Soft Coral <i>Sinularia nanolobata</i>,2013,PLANTA MEDICA,NA,79,"Duh, C. Y. and Hsu, F. Y. and Wang, S. K.",NA,english,NA,natural_products,octocoral,single,sinularia_nanolobata,NA,NA,NA,NA,NA,NA,NA,undefined,NA,NA,N,adult,undefined,laboratory,NA,NA,NA
Eunicellin-based diterpenoids from the formosan soft coral klyxum molle with inhibitory activity on superoxide generation and elastase release by neutrophils,2013,Journal of Natural Products,10.1021/np400372v,76,"Lin, Ming-Chang and Chen, Bo-Wei and Huang, Chiung-Yao and Dai, Chang-Feng and Hwang, Tsong-Long and Sheu, Jyh-Horng",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885059526&doi=10.1021%2fnp400372v&partnerID=40&md5=5de8b9706fe8f8133bcb24a3ed53eb2c,english,"Eleven new eunicellin-based diterpenoids possessing a cladiellane skeleton with a C-2, C-9 ether bridge, klymollins I-S (1-11), have been isolated from the EtOAc extract of the soft coral Klyxum molle from Taiwan waters. The structures of compounds 1-11 were elucidated by extensive spectroscopic analysis, including 2D NMR spectroscopy (COSY, HSQC, HMBC, and NOESY). Compound 5 exhibited cytotoxicity toward several cancer cell lines. Compound 5 is the first eunicellin-based metabolite bearing a phenyl group and displays significant inhibition of both superoxide anion generation and elastase release in N-formyl-methionyl-leucyl-phenylalanine/cytochalasin B (fMLP/CB)-induced human neutrophils. ¬© 2013 The American Chemical Society and American Society of Pharmacognosy.",natural_products,octocoral,single,klyxum_molle,NA,NA,NA,NA,NA,NA,NA,undefined,NA,NA,N,adult,undefined,laboratory,anti_inflammatory,NA,NA
"5-Episinuleptolide Acetate, a Norcembranoidal Diterpene from the Formosan Soft Coral Sinularia sp., Induces Leukemia Cell Apoptosis through Hsp90 Inhibition",2013,MOLECULES,10.3390/molecules18032924,18,"Huang, Kao-Jean and Chen, Yu-Cheng and El-Shazly, Mohamed and Du, Ying-Chi and Su, Jui-Hsin and Tsao, Chia-Wei and Yen, Wei-Hsuan and Chang, Wen-Been and Su, Yin-Di and Yeh, Yao-Tsung and Lu, Mei-Chin",https://www.mdpi.com/1420-3049/18/3/2924,english,"5-Episinuleptolide acetate (5EPA), a cytotoxic norcembranoidal diterpene recently identified from the Formosan soft coral Sinularia sp., exhibited potent activity against the K562, Molt 4 and HL 60 cancer cell lines. The antiproliferative assay, as well as the annexin V-FITC/propidium iodide (PI) apoptotic assay, indicated that the HL 60 cell line is the most sensitive one towards 5EPA. This diterpenoid led to caspases -3, -8, and -9 activation as well as PARP cleavage. It also induced ROS generation, calcium accumulation and disruption of mitochondrial membrane potential. Additionally, the expression levels of Hsp90 protein and several client proteins were downregulated in response to 5EPA treatment. These results suggest that 5EPA's cytotoxic effect on HL 60 cells may be attributed to the inhibition of Hsp90 as well as the induction of mitochondrial stress which finally results in apoptotic cell death.",natural_products,octocoral,single,sinularia_sp,NA,NA,NA,NA,NA,NA,NA,undefined,NA,NA,N,adult,undefined,laboratory,cytotoxicity; cancer,5-episinuleptolide acetate; apoptosis; soft coral; Hsp90; mitochondria; ROS; Sinularia sp.,NA
"Soft Coral-Derived Lemnalol Alleviates Monosodium Urate-Induced Gouty Arthritis in Rats by Inhibiting Leukocyte Infiltration and iNOS, COX-2 and c-Fos Protein Expression",2013,MARINE DRUGS,10.3390/md11010099,11,"Lee, Hsin-Pai and Huang, Shi-Ying and Lin, Yen-You and Wang, Hui-Min and Jean, Yen-Hsuan and Wu, Shu-Fen and Duh, Chang-Yih and Wen, Zhi-Hong",https://www.mdpi.com/1660-3397/11/1/99,english,"An acute gout attack manifests in the joint as dramatic inflammation. To date, the clinical use of medicinal agents has typically led to undesirable side effects. Numerous efforts have failed to create an effective and safe agent for the treatment of gout. Lemnalol-an extract from Formosan soft coral-has documented anti-inflammatory and anti-nociceptive properties. In the present study, we attempt to examine the therapeutic effects of lemnalol on intra-articular monosodium urate (MSU)-induced gouty arthritis in rats. In the present study, we found that treatment with lemnalol (intramuscular {[}im]), but not colchicine (oral {[}po]), significantly attenuated MUS-induced mechanical allodynia, paw edema and knee swelling. Histomorphometric and immunohistochemistry analysis revealed that MSU-induced inflammatory cell infiltration, as well as the elevated expression of c-Fos and pro-inflammatory proteins (inducible nitric oxide synthase and cyclooxygenase-2) observed in synovial tissue, were significantly inhibited by treatment with lemnalol. We conclude that lemnalol may be a promising candidate for the development of a new treatment for gout and other acute neutrophil-driven inflammatory diseases.",natural_products,octocoral,single,lemnalia_cervicorni,NA,NA,NA,NA,NA,NA,NA,undefined,NA,NA,N,undefined,undefined,laboratory,anti_inflammatory; arthritis,gout; lemnalol; monosodium urate; allodynia; inflammation,drug_development
Vibrational spectra of corallium elatius,2013,Guang Pu Xue Yu Guang Pu Fen Xi/Spectroscopy and Spectral Analysis,10.3964/j.issn.1000-0593(2013)09-2329-03,33,"Fan, Lu-Wei and Zhang, Yan and Hu, Yang",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883757973&doi=10.3964%2fj.issn.1000-0593%282013%2909-2329-03&partnerID=40&md5=f37dc3bdd5707f5fecf5cdfa264c23c1,english,"Corallium elatius, which has unique color distribution characteristic, is the most important species of Taiwan precious corals. EPMA, XRD, FTIR and Laser Raman detective methods were used to study the chemical, mineral composition and spectra characteristics of Corallium elatius. The result of EPMA, XRD and FTIR shows the high-Mg calcite mineral component and the stable minor chemical constituents of the samples. Meanwhile, the cell parameter indicates the lattice distortion and the preferred orientation of calcite grain caused by organic matter. The red part of the samples shows a different Raman spectrum from that of the white part, located at 1 517/1 128 cm-1 and 1 296/1 016 cm-1. Raman scattering measurement reveals the relationship between the organic matter and color.",other,scleractinian,single,corallium_elatius,NA,NA,NA,NA,NA,NA,NA,undefined,NA,NA,N,undefined,undefined,laboratory,NA,NA,NA
Searching for radical intermediates and pathways implied in the biosynthesis of some polycyclic cembranoids. A new plausible mechanism for the origin of sinulanocembranolide A in the coral Sinularia gyrosa,2013,TETRAHEDRON LETTERS,10.1016/j.tetlet.2013.10.002,54,"Palframan, Matthew J. and Pattenden, Gerald",https://www.sciencedirect.com/science/article/pii/S0040403913017280?casa_token=meOxWCfV2woAAAAA:Lm7zckYiysILBzfGZoJPYB8KbpT8buZwWK-fwkYeOvT-Ew4VHWt_jWMd_nKixjYtfyg975J4CbRn,english,"The 3(2H)-furanone 11 underwent dimerisation to 13 (71\%) via the captodative radical intermediate 12 on treatment with t-butyl hydroperoxide, but similar treatment of 5-episinuleptolide (5) failed to produce the natural product 7 via the presumed radical intermediate 8. In other attempts to generate 8, irradiation of a solution of 5 in benzene led only to the corresponding E-isomer 14, and treatment of 5 with Mn(OAc)(3) in HOAc produced the acetate of the isomeric alcohol 15. However, when a solution of 5-episinuleptolide (5) in THF was reacted with samarium diiodide, a sequence of transannular ketyl radical-induced coupling reactions ensued leading to the ring fused compound 20 in 62\% yield. From these experiments in vitro it is difficult to make the case for the involvement of carbon-centred radical intermediates suggested earlier, in the biosynthesis of some polycyclic norcembranoids. It is proposed that the ring system in the recently described sinulanocembranolide A (1) is derived in vivo by way of a novel (3 + 2) type (possibly 1,3-dipolar) transannular cyclisation from the enedione intermediate 23 produced from 5-episinuleptolide (5). (C) 2013 Elsevier Ltd. All rights reserved.",natural_products,octocoral,single,sinularia_gyrosa,NA,NA,NA,NA,NA,NA,NA,undefined,NA,NA,Y,undefined,undefined,laboratory,NA,Norcembranoids; Radical; Biosynthesis speculation; Sinulanocembranolide A; Samarium diiodide; Sin...,NA
"Yolk formation in a stony coral Euphyllia ancora (Cnidaria, Anthozoa): Insight into the evolution of vitellogenesis in nonbilaterian animals",2013,Endocrinology,10.1210/en.2013-1086,154,"Shikina, Shinya and Chen, Chieh-Jhen and Chung, Yi-Jou and Shao, Zi-Fan and Liou, Jhe-Yu and Tseng, Hua-Pin and Lee, Yan-Horn and Chang, Ching-Fong",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883194041&doi=10.1210%2fen.2013-1086&partnerID=40&md5=9bcbc399d6df3d890229dcae6a54dfca,english,"Vitellogenin (Vg) is a major yolk protein precursor in numerous oviparous animals. Numerous studies in bilateral oviparous animals have shown that Vg sequences are conserved across taxa and that Vgs are synthesized by somatic-cell lineages, transported to and accumulated in oocytes, and eventually used for supporting embryogenesis. In nonbilateral animals (Polifera, Cnidaria, and Ctenophora), which are regarded as evolutionarily primitive, although Vg cDNA has been identified in 2 coral single from Cnidaria, relatively little is known about the characteristics of yolk formation in their bodies. To address this issue, we identified and characterized 2 cDNA encoding yolk proteins, Vg and egg protein (Ep), in the stony coral Euphyllia ancora. RT-PCR analysis revealed that expression levels of both Vg and Ep increased in the female colonies as coral approached the spawning season. In addition, high levels of both Vg and Ep transcripts were detected in the putative ovarian tissue, as determined by tissue distribution analysis. Further analyses using mRNA in situ hybridization and immunohistochemistry determined that, within the putative ovarian tissue, these yolk proteins are synthesized in the mesenterial somatic cells but not in oocytes themselves. Furthermore, Vg proteins that accumulated in eggs were most likely consumed during the coral embryonic development, as assessed by immunoblotting. The characteristics of Vg that we identified in corals were some what similar to those of Vg in bilaterian oviparous animals, raising the hypothesis that such characteristics were likely present in the oogenesis of some common ancestor prior to divergence of the cnidarian and bilaterian lineages.",reproduction,scleractinian,single,euphyllia_ancora,NA,NA,NA,NA,NA,NA,NA,south,nanwan_bay,NA,N,multiple,short,mixed,NA,NA,NA
"Hourglass Mechanism with Temperature Compensation in the Diel Periodicity of Planulation of the Coral, Seriatopora hystrix",2013,PLoS ONE,10.1371/journal.pone.0064584,8,"Lin, Che-Hung and Soong, Keryea and Fan, Tung-Yung",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877786958&doi=10.1371%2fjournal.pone.0064584&partnerID=40&md5=395f5504c3e7286591860dea9f18b98f,english,"Brooding corals often exhibit daily planulation peaks in certain phases of lunar months during their reproductive season. The mechanism controlling this diurnal phenomenon, however, remains uncertain. Seriatopora hystrix populations of Southern Taiwan exhibit a highly synchronized planulation rhythm characterized by pre-dawn peak release episodes over a period of 4-6 days per month throughout the year. In this study, controlled light-dark cycles and temperatures were used to study the mechanism of the diel planulation rhythm in the laboratory. Seriatopora hystrix did not release planulae under continuous light or continuous darkness. Thus, the lack of free-run did not support a regulatory mechanism involving an endogenous oscillator. Under some lighting conditions, planula release occurred in two peaks per day. Both peaks always occur under dark phases of various light-dark cycles in the laboratory. The first peak occurred when the dark period just started, which might be stimulated by an abrupt transition between light and darkness. The second, pre-dawn peak consistently occurred 23 hrs after application of light. We concluded that this peak of planula release of S. hystrix was cued by sunrise of the previous day. Temperature treatments at 1¬?C intervals from 23.5-28.5¬?C did not change the diel time of planula release. We suggest that the temperature compensation exhibited in the hourglass model of this single may have a common origin as that of the oscillator model of circadian clocks, due to the similar duration (23 h) and period (‚àº24 h) between the two. The timing mechanism of planulation discovered here represents an intermediate stage between the hourglass and the oscillator models. ¬© 2013 Lin et al.",reproduction,scleractinian,single,seriatopora_hystrix,NA,NA,NA,NA,NA,NA,NA,south,nanwan_bay,NA,N,multiple,mid,laboratory,NA,NA,NA
Life History Changes in Coral Fluorescence and the Effects of Light Intensity on Larval Physiology and Settlement in <i>Seriatopora hystrix</i>,2013,PLOS ONE,10.1371/journal.pone.0059476,8,"Roth, Melissa S. and Fan, Tung-Yung and Deheyn, Dimitri D.",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0059476,english,"Fluorescence is common in both coral adult and larval stages, and is produced by fluorescent proteins that absorb higher energy light and emit lower energy light. This study investigated the changes of coral fluorescence in different life histo stages and the effects of parental light environment on larval fluorescence, larval endosymbiotic dinoflagellate abundance, larval size and settlement in the brooding coral Seriatopora hystrix. Data showed that coral fluorescence changed during development from green in larvae to cyan in adult colonies. In larvae, two green fluorescent proteins (GFPs) co-occur where the peak emission of one GFP overlaps with the peak excitation of the second GFP allowing the potential for energy transfer. Coral larvae showed great variation in GFP fluorescence, dinoflagellate abundance, and size. There was no obvious relationship between green fluorescence intensity and dirioflagellate abundance, green fluorescence intensity and larval size, or dinoflagellate abundance and larval size. Larvae of parents from high and low light treatments showed similar green fluorescence intensity, yet small but significant differences in size, dinoflagellate abundance, and settlement. The large variation in larval physiology combined with subtle effects of parental environment on larval characteristics seem to indicate that even though adult corals produce larvae with a wide range of physiological capacities, these larvae can still show small preferences for settling in similar habitats as their parents. These data highlight the importance of environmental conditions at the onset of life history and parent colony effects on coral larvae.",reproduction,scleractinian,single,seriatopora_hystrix,NA,NA,NA,NA,NA,NA,NA,south,nanwan_bay,NA,N,planktonic,mid,laboratory,NA,NA,NA
Real-Time PCR-Based Gene Expression Analysis in the Model Reef-Building Coral ?Pocillopora Damicornis?: Insight from a Salinity Stress Study,2013,Platax,10.29926/PLATAX.201312_2013.0001,2013,"Anderson B. Mayfield, Tung-Yung Fan, Chii-Shiarng Chen",https://doi.org/10.29926%2fPLATAX.201312_2013.0001,english,"Pocillopora damicornis has emerged as the model coral for studying global climate change given that it is found in the waters of nearly all nations that invest significantly in coral reef research. To further the development of a molecular blueprint for understanding the sub-cellular response of this coral to changing environmental conditions, three approaches were taken herein. First, a salinity challenge study was conducted with corals from Kaneohe Bay, Hawaii (United States). Specimens were exposed to 24, 28, 32 (control), 36, or 40 partial salinity units (psu) for 1, 2, or 3 hrs, and the expression of three mitogen-activated protein kinase (mapk) genes; stress-activated protein kinase 2 (p38), extracellular signal-regulated kinase 2 (erk2), and big mapk 1 (bmk1), was measured. p38 and erk2 both exhibited large increases in expression in corals exposed for 1 hr to 28 psu, potentially suggesting that the associated proteins are involved in the initial stages of the hypo-osmotic stress response and may be important molecular targets for understanding this coral's response to environmental perturbations. As a second effort to better develop the molecular infrastructure of P. damicornis populations in Southern Taiwan in particular, real-time PCR assays from previously published works were applied to cDNA generated from RNA derived from ?P. damicornis? populations of Nanwan Bay in Southern Taiwan. In many cases, assays developed from ?P. damicornis? cultures reared in Monaco were found to be unsuitable for use with Taiwanese specimens, and, overall, only ~55% of assays developed by other laboratories could be utilized with confidence with Taiwanese ?P. damicornis? specimens. Finally, a next generation sequencing-based transcriptome sequencing study was used as a platform for the identification of genes involved in acclimation to high temperature, and 13 gene expression assays were developed for use with ?P. damicornis?. In total, there are now 28 genes (14 in each of the host and ?Symbiodinium? compartments) whose expression levels can be measured accurately with real-time PCR in this ecologically important reef builder that exists in many regions of the Indo-Pacific. It is hoped that these assays will not only be employed in Taiwan-based studies, but in molecular biomarker surveys conducted as part of the Living Ocean Foundation's Global Reef Expedition aboard the research vessel ?Golden Shadow?.",other_stressor,scleractinian,single,pocillopora_damicornis,NA,NA,NA,NA,NA,NA,NA,south,nanwan_bay,NA,Y,adult,undefined,laboratory,NA,"coral, dinoflagellate, endosymbiosis, gene expression, mitogen-activated protein kinase (MAPK), osmoregulation, Pocillopora damicornis, real-time PCR, salinity stress",further_research
